Index,Item,Description,Final_Data
1,"<tr><th class=""tg-0lax"">Extended Product Type:</th>","<tr><th class=""tg-0lax"">SH201-C16</th></tr>","<tr><th class=""tg-0lax"">Extended Product Type:</th><th class=""tg-0lax"">SH201-C16</th></tr>"
2,"<tr><th class=""tg-0lax"">Product ID:</th>","<tr><th class=""tg-0lax"">2CDS211001R0164</th></tr>","<tr><th class=""tg-0lax"">Product ID:</th><th class=""tg-0lax"">2CDS211001R0164</th></tr>"
3,"<tr><th class=""tg-0lax"">EAN:</th>","<tr><th class=""tg-0lax"">4016779630641</th></tr>","<tr><th class=""tg-0lax"">EAN:</th><th class=""tg-0lax"">4016779630641</th></tr>"
4,"<tr><th class=""tg-0lax"">Catalog Description:</th>","<tr><th class=""tg-0lax"">SH201-C16 Miniature Circuit Breaker - 1P - C - 16 A</th></tr>","<tr><th class=""tg-0lax"">Catalog Description:</th><th class=""tg-0lax"">SH201-C16 Miniature Circuit Breaker - 1P - C - 16 A</th></tr>"
5,"<tr><th class=""tg-0lax"">Long Description:</th>","<tr><th class=""tg-0lax"">Compact Home SH200 miniature circuit breakers are current limiting. They have two different tripping mechanisms, the delayed thermal tripping mechanism for overload protection and the electromechanic tripping mechanism for short circuit protection. They are available in different characteristics (B,C), 
configurations (1P,1P+N,2P,3P,3P+N,4P), breaking capacities (up to 6 kA at 230/400 V AC) and rated currents (up to 40 A). All MCBs of the product range SH200 comply with IEC/EN 60898-1, allowing the use for residential applications.</th></tr>","<tr><th class=""tg-0lax"">Long Description:</th><th class=""tg-0lax"">Compact Home SH200 miniature circuit breakers are current limiting. They have two different tripping mechanisms, the delayed thermal tripping mechanism for overload protection and the electromechanic tripping mechanism for short circuit protection. They are available in different characteristics (B,C), 
configurations (1P,1P+N,2P,3P,3P+N,4P), breaking capacities (up to 6 kA at 230/400 V AC) and rated currents (up to 40 A). All MCBs of the product range SH200 comply with IEC/EN 60898-1, allowing the use for residential applications.</th></tr>"
1,Image Link,"<tr><th class=""tg-0lax"">https://cdn.productimages.abb.com/9PAA00000150968_720x540.jpg</th></tr>",
2,Image Link,"<tr><th class=""tg-0lax"">https://cdn.productimages.abb.com/9PAA00000150968_195x195.jpg</th></tr>",
3,Image Link,"<tr><th class=""tg-0lax"">https://cdn.productimages.abb.com/9PAA00000150969_195x195.jpg</th></tr>",
4,Image Link,"<tr><th class=""tg-0lax"">https://cdn.productimages.abb.com/9PAA00000150970_195x195.jpg</th></tr>",
5,Image Link,"<tr><th class=""tg-0lax"">https://cdn.productimages.abb.com/9PAA00000208628_195x195.jpg</th></tr>",
